"sex","region","daily","monthly","date","time_of_day","time_info"
"M","Florida",4008703,5600000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Georgia",1936327,2700000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Hawaii",235554,340000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Idaho",318745,440000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Illinois",2450180,3300000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Indiana",1263828,1700000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Iowa",646673,840000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Kansas",589863,790000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Kentucky",890140,1200000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Louisiana",860416,1200000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Maine",260592,350000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Maryland",988111,1400000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Massachusetts",1227287,1700000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Michigan",1921491,2600000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Minnesota",1030863,1400000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Mississippi",578349,780000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Missouri",1186630,1600000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Montana",189389,260000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Nebraska",400472,520000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Nevada",557936,8e+05,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","New Hampshire",243820,330000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","New Jersey",1494859,2100000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","New Mexico",346492,490000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","New York",3769955,5400000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","North Carolina",1883119,2600000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","North Dakota",156983,2e+05,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Ohio",2141760,2900000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Oklahoma",814970,1100000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Oregon",699706,1e+06,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Pennsylvania",2187733,3e+06,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Rhode Island",195777,270000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","South Carolina",959449,1300000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","South Dakota",175389,230000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Tennessee",1323022,1800000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Texas",5783115,7900000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Utah",550348,790000,2020-05-31,"20:31:58",2020-05-31 20:31:58
"M","Vermont",108950,150000,2020-05-31,"20:31:58",2020-05-31 20:31:58
