"sex","region","daily","monthly","date","time_of_day","time_info"
"F","Illinois",73096,80000,2020-03-09,NA,NA
"F","Indiana",42854,46000,2020-03-09,NA,NA
"F","Iowa",22327,24000,2020-03-09,NA,NA
"F","Kansas",24554,26000,2020-03-09,NA,NA
"F","Kentucky",29637,32000,2020-03-09,NA,NA
"F","Louisiana",33646,37000,2020-03-09,NA,NA
"F","Maine",8537,9100,2020-03-09,NA,NA
"F","Maryland",41286,47000,2020-03-09,NA,NA
"F","Massachusetts",34998,40000,2020-03-09,NA,NA
"F","Michigan",58012,64000,2020-03-09,NA,NA
"F","Minnesota",35693,39000,2020-03-09,NA,NA
"F","Mississippi",23685,27000,2020-03-09,NA,NA
"F","Missouri",46393,51000,2020-03-09,NA,NA
"F","Montana",10619,11000,2020-03-09,NA,NA
"F","Nebraska",14646,16000,2020-03-09,NA,NA
"F","Nevada",36958,41000,2020-03-09,NA,NA
"F","New Hampshire",8318,9600,2020-03-09,NA,NA
"F","New Jersey",44737,49000,2020-03-09,NA,NA
"F","New Mexico",19073,22000,2020-03-09,NA,NA
"F","New York",91112,1e+05,2020-03-09,NA,NA
"F","North Carolina",87405,96000,2020-03-09,NA,NA
"F","North Dakota",8051,9000,2020-03-09,NA,NA
"F","Ohio",62784,68000,2020-03-09,NA,NA
"F","Oklahoma",27472,30000,2020-03-09,NA,NA
"F","Oregon",30091,32000,2020-03-09,NA,NA
"F","Pennsylvania",66441,72000,2020-03-09,NA,NA
"F","Rhode Island",6359,7100,2020-03-09,NA,NA
"F","South Carolina",50679,57000,2020-03-09,NA,NA
"F","South Dakota",7764,8500,2020-03-09,NA,NA
"F","Tennessee",61302,66000,2020-03-09,NA,NA
"F","Texas",230872,250000,2020-03-09,NA,NA
"F","Utah",22349,25000,2020-03-09,NA,NA
"F","Vermont",4974,5500,2020-03-09,NA,NA
"F","Virginia",70982,80000,2020-03-09,NA,NA
"F","West Virginia",13798,15000,2020-03-09,NA,NA
"F","Washington",51061,57000,2020-03-09,NA,NA
"F","Washington D. C.",16982,19000,2020-03-09,NA,NA
"F","Wisconsin",34026,36000,2020-03-09,NA,NA
"F","Wyoming",6530,7100,2020-03-09,NA,NA
"F","Canada",173228,190000,2020-03-09,NA,NA
"F","United States",1906440,2100000,2020-03-09,NA,NA
"M","Alberta",32770,36000,2020-03-10,NA,NA
"M","British Columbia",28914,32000,2020-03-10,NA,NA
"M","Manitoba",7390,8100,2020-03-10,NA,NA
"M","New Brunswick",4011,4600,2020-03-10,NA,NA
"M","Newfoundland and Labrador",4447,4700,2020-03-10,NA,NA
"M","Northwest Territories",998,1000,2020-03-10,NA,NA
"M","Nova Scotia",6178,6400,2020-03-10,NA,NA
"M","Nunavut",997,1000,2020-03-10,NA,NA
"M","Ontario",53112,61000,2020-03-10,NA,NA
"M","Prince Edward Island",1113,1200,2020-03-10,NA,NA
"M","Quebec",35914,39000,2020-03-10,NA,NA
"M","Saskatchewan",8991,9600,2020-03-10,NA,NA
"M","Yukon",994,1000,2020-03-10,NA,NA
"M","Alabama",34859,39000,2020-03-10,NA,NA
"M","Alaska",6163,7000,2020-03-10,NA,NA
"M","Arizona",52899,59000,2020-03-10,NA,NA
"M","Arkansas",21718,25000,2020-03-10,NA,NA
"M","California",164936,190000,2020-03-10,NA,NA
"M","Colorado",41233,46000,2020-03-10,NA,NA
"M","Connecticut",13400,15000,2020-03-10,NA,NA
"M","Delaware",6911,7800,2020-03-10,NA,NA
"M","Florida",175537,2e+05,2020-03-10,NA,NA
"M","Georgia",88922,1e+05,2020-03-10,NA,NA
"M","Hawaii",10889,12000,2020-03-10,NA,NA
"M","Idaho",13052,15000,2020-03-10,NA,NA
"M","Illinois",64038,72000,2020-03-10,NA,NA
"M","Indiana",37383,42000,2020-03-10,NA,NA
"M","Iowa",20698,23000,2020-03-10,NA,NA
"M","Kansas",23660,26000,2020-03-10,NA,NA
"M","Kentucky",27884,30000,2020-03-10,NA,NA
"M","Louisiana",35100,40000,2020-03-10,NA,NA
"M","Maine",6402,7300,2020-03-10,NA,NA
"M","Maryland",35754,40000,2020-03-10,NA,NA
"M","Massachusetts",28583,32000,2020-03-10,NA,NA
"M","Michigan",49389,54000,2020-03-10,NA,NA
"M","Minnesota",31317,34000,2020-03-10,NA,NA
"M","Mississippi",23094,26000,2020-03-10,NA,NA
"M","Missouri",41410,46000,2020-03-10,NA,NA
"M","Montana",7801,9200,2020-03-10,NA,NA
"M","Nebraska",13740,15000,2020-03-10,NA,NA
"M","Nevada",31972,37000,2020-03-10,NA,NA
"M","New Hampshire",6683,7500,2020-03-10,NA,NA
"M","New Jersey",36155,42000,2020-03-10,NA,NA
"M","New Mexico",20496,23000,2020-03-10,NA,NA
"M","New York",75835,85000,2020-03-10,NA,NA
"M","North Carolina",74243,82000,2020-03-10,NA,NA
"M","North Dakota",10248,11000,2020-03-10,NA,NA
"M","Ohio",53903,61000,2020-03-10,NA,NA
"M","Oklahoma",25946,29000,2020-03-10,NA,NA
"M","Oregon",23410,26000,2020-03-10,NA,NA
"M","Pennsylvania",55379,63000,2020-03-10,NA,NA
"M","Rhode Island",5115,5500,2020-03-10,NA,NA
"M","South Carolina",42030,47000,2020-03-10,NA,NA
"M","South Dakota",6967,7800,2020-03-10,NA,NA
"M","Tennessee",51486,57000,2020-03-10,NA,NA
"M","Texas",223458,250000,2020-03-10,NA,NA
"M","Utah",21687,25000,2020-03-10,NA,NA
"M","Vermont",3601,4300,2020-03-10,NA,NA
"M","Virginia",63848,71000,2020-03-10,NA,NA
"M","West Virginia",11745,13000,2020-03-10,NA,NA
"M","Washington",43740,49000,2020-03-10,NA,NA
"M","Washington D. C.",16247,17000,2020-03-10,NA,NA
"M","Wisconsin",30272,32000,2020-03-10,NA,NA
"M","Wyoming",7290,7900,2020-03-10,NA,NA
"M","Canada",181112,2e+05,2020-03-10,NA,NA
"M","United States",1695760,1900000,2020-03-10,NA,NA
"F","Alberta",27878,31000,2020-03-10,NA,NA
"F","British Columbia",27739,32000,2020-03-10,NA,NA
"F","Manitoba",7169,7900,2020-03-10,NA,NA
"F","New Brunswick",4267,5000,2020-03-10,NA,NA
"F","Newfoundland and Labrador",5281,5600,2020-03-10,NA,NA
"F","Northwest Territories",998,1000,2020-03-10,NA,NA
"F","Nova Scotia",6893,7500,2020-03-10,NA,NA
"F","Nunavut",748,1000,2020-03-10,NA,NA
"F","Ontario",56594,64000,2020-03-10,NA,NA
"F","Prince Edward Island",1124,1200,2020-03-10,NA,NA
"F","Quebec",31357,35000,2020-03-10,NA,NA
"F","Saskatchewan",8908,9800,2020-03-10,NA,NA
"F","Yukon",664,1000,2020-03-10,NA,NA
"F","Alabama",39615,43000,2020-03-10,NA,NA
"F","Alaska",5799,6700,2020-03-10,NA,NA
"F","Arizona",66697,74000,2020-03-10,NA,NA
"F","Arkansas",23987,27000,2020-03-10,NA,NA
"F","California",186943,210000,2020-03-10,NA,NA
"F","Colorado",44859,49000,2020-03-10,NA,NA
"F","Connecticut",16245,18000,2020-03-10,NA,NA
"F","Delaware",8984,10000,2020-03-10,NA,NA
"F","Florida",222221,250000,2020-03-10,NA,NA
"F","Georgia",107498,120000,2020-03-10,NA,NA
"F","Hawaii",12030,14000,2020-03-10,NA,NA
"F","Idaho",14718,17000,2020-03-10,NA,NA
"F","Illinois",73671,80000,2020-03-10,NA,NA
"F","Indiana",41700,46000,2020-03-10,NA,NA
"F","Iowa",21586,24000,2020-03-10,NA,NA
"F","Kansas",24674,26000,2020-03-10,NA,NA
"F","Kentucky",30446,32000,2020-03-10,NA,NA
"F","Louisiana",33734,37000,2020-03-10,NA,NA
"F","Maine",8643,9100,2020-03-10,NA,NA
"F","Maryland",42832,47000,2020-03-10,NA,NA
"F","Massachusetts",35375,40000,2020-03-10,NA,NA
"F","Michigan",58278,64000,2020-03-10,NA,NA
